60
============================================================================

                  KPP Standalone Atmospheric Chemical State
File Description:
This file contains model output of the atmospheric chemical state
as simulated by the GEOS-Chem chemistry module in a 3D setting.
Each grid cell represents the chemical state of an individual location,
suitable for input into a separate KPP Standalone program which will
replicate the chemical evolution of that grid cell for mechanism analysis.
Note that the KPP Standalone will only use concentrations, rate constants,
and KPP-specific fields. All other fields are for reference. The first line
contains the number of lines in this header. If wanting to use this output
for other analysis, a Python class to read these fields is available by
request, contact Obin Sturm (psturm@usc.edu).

Generated by the GEOS-Chem Model
       (https://geos-chem.org/)
Using the KPP Standalone Interface
github.com/GEOS-ESM/geos-chem/tree/feature/psturm/kpp_standalone_interface
     With contributions from:
        Obin Sturm (psturm@usc.edu)
        Christoph Keller
        Michael Long
        Sam Silva

Meteorological and general grid cell metadata    

Location:                                        Beijing
Timestamp:                                       2019/07/01 00:40
Longitude (degrees):                                115.0000
Latitude (degrees):                                  38.0000
GEOS-Chem Vertical Level:                             1
Pressure (hPa):                                     947.7906
Temperature (K):                                      300.29
Dry air density (molec/cm3):                      0.2273E+20
Water vapor mixing ratio (vol H2O/vol dry air):   0.9784E-02
Cloud fraction:                                   0.0000E+00
Cosine of solar zenith angle:                     0.6833E+00

KPP Integrator-specific parameters               

Init KPP Timestep (seconds):                        655.3846
Exit KPP Timestep (seconds):                        497.8023
Chemistry operator timestep (seconds):             1200.0000
Number of internal timesteps:                        12
ICNTRL integrator options used:
     1     0     4     0     0     0     1     0     0     0
     0     0     0   345    -1     0     0     0     0     0
RCNTRL integrator options used:
     0.000000     0.000000   655.384583     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000050     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000

CSV data of full chemical state, including species concentrations,
rate constants (R) and instantaneous reaction rates (A).
All concentration units are in molec/cm3 and rates in molec/cm3/s.

============================================================================
Name,   Value,   Absolute Tolerance
LCO,  0.0000000000000000E+000,  1.00E+25
PSO4,  0.0000000000000000E+000,  1.00E+25
LCH4,  0.0000000000000000E+000,  1.00E+25
PH2O2,  0.0000000000000000E+000,  1.00E+25
FURA,  1.6074311206053626E+007,  1.00E-02
I2O4,  2.5314001835440050E-002,  1.00E-02
CH3CCl3,  3.0920050038133796E+007,  1.00E-02
I2O2,  1.3009907976527925E+003,  1.00E-02
MONITA,  8.8774632566134725E+006,  1.00E-02
CCl4,  1.7522532193998322E+009,  1.00E-02
CFC11,  5.0814760480769444E+009,  1.00E-02
CFC12,  1.1365968360389618E+010,  1.00E-02
CFC113,  1.5740251960342636E+009,  1.00E-02
CFC114,  3.5917629655510426E+008,  1.00E-02
CFC115,  1.9368240241390085E+008,  1.00E-02
CH3I,  2.0174793730167832E+007,  1.00E-02
H1301,  7.5925127082994029E+007,  1.00E-02
H2402,  8.8657399121908136E+006,  1.00E-02
I2O3,  2.8810362853769302E+001,  1.00E-02
PINPAN,  2.7733872419786799E+008,  1.00E-02
LIMPAN,  1.1750696041673255E+008,  1.00E-02
TLFUONE,  6.6894368076339597E+005,  1.00E-02
BrNO2,  1.0812084777409262E+006,  1.00E-02
C2H2,  6.5710755413073425E+009,  1.00E-02
H1211,  7.3428551559405819E+007,  1.00E-02
INO,  2.5418057695810936E+005,  1.00E-02
N2O,  7.5092738927499404E+012,  1.00E-02
NIT,  7.3213711473513997E+008,  1.00E-02
NITs,  2.8282303857553190E+008,  1.00E-02
PINONIC,  5.6835861243562482E+005,  1.00E-02
N,  1.4828731123474650E-019,  1.00E-02
OCS,  1.1366296320268385E+010,  1.00E-02
ALK6,  1.3954206114848139E+010,  1.00E-02
ETHN,  4.6203452983451433E+007,  1.00E-02
BZCO3H,  3.6448594687076882E+006,  1.00E-02
HACTA,  1.3557954438864955E+008,  1.00E-02
HI,  7.8149358541293230E+004,  1.00E-02
PINO3H,  1.0062797943007790E+007,  1.00E-02
CHCl3,  2.6304424300141278E+008,  1.00E-02
Cl2O2,  2.0123898558717618E-004,  1.00E-02
IBr,  1.9285831159368158E+001,  1.00E-02
CH2Br2,  1.6875345351140969E+007,  1.00E-02
CH2Cl2,  1.3012202782895007E+009,  1.00E-02
MPN,  7.5219928212219896E+006,  1.00E-02
CHBr3,  1.9817091676692452E+007,  1.00E-02
TOLU,  3.2283123845896721E+009,  1.00E-02
ETNO3,  1.1889460724614652E+008,  1.00E-02
HCFC123,  4.9219063275474178E-018,  1.00E-02
HCFC141b,  5.8899013876439738E+008,  1.00E-02
HCFC142b,  5.1625421978097165E+008,  1.00E-02
HCFC22,  5.6678409892756023E+009,  1.00E-02
HMHP,  6.0556314329003453E+008,  1.00E-02
HMS,  1.7456712137667198E+009,  1.00E-02
BZPAN,  4.0942269495599866E+007,  1.00E-02
IPRNO3,  5.5084082619110119E+008,  1.00E-02
MAP,  2.5524142461852536E+009,  1.00E-02
MENO3,  1.4251505507642600E+008,  1.00E-02
DMS,  9.3370230505656672E+005,  1.00E-02
NPRNO3,  1.2392146173576619E+008,  1.00E-02
OIO,  2.9632181996954678E+003,  1.00E-02
R4P,  4.4497463426012084E+007,  1.00E-02
R7P,  4.0850532143748641E+007,  1.00E-02
RA3P,  3.8462996576247975E+007,  1.00E-02
RB3P,  7.6887184743221521E+007,  1.00E-02
XYLE,  2.4073619972593637E+009,  1.00E-02
ALK4P,  5.5397973981626192E+006,  1.00E-02
IONITA,  1.0792038409434254E+008,  1.00E-02
ICl,  2.6763332337832139E+002,  1.00E-02
CH3Br,  1.6073852568314809E+008,  1.00E-02
ETO,  1.4004849381418205E+000,  1.00E-02
HMML,  4.6782756534590352E+008,  1.00E-02
HNO4,  2.8817809277567458E+008,  1.00E-02
C2H4,  8.0500288624595633E+009,  1.00E-02
ClOO,  4.7859414064258360E+001,  1.00E-02
APINP,  1.6684702229976034E+007,  1.00E-02
BPINP,  7.5475903494941024E+006,  1.00E-02
MEKPN,  4.5064909593813151E+007,  1.00E-02
PHAN,  1.0368264989291877E+009,  1.00E-02
PYAC,  4.4423026287663333E+007,  1.00E-02
RNO3,  2.6568074443418860E+004,  1.00E-02
BENZP,  1.4484129667583519E+008,  1.00E-02
ETP,  1.5755659271972162E+008,  1.00E-02
IDC,  1.7880810886473432E+007,  1.00E-02
OClO,  3.6538899738663481E+001,  1.00E-02
TLFUO2,  2.4061855498936770E+003,  1.00E-02
AROMPN,  4.1089009149031088E+004,  1.00E-02
PP,  5.3016923665936247E+007,  1.00E-02
PPN,  2.0016794941153092E+009,  1.00E-02
PRPN,  9.9741025255466223E+007,  1.00E-02
APAN,  5.4728444710691730E+006,  1.00E-02
BUTN,  9.2305763574754528E+004,  1.00E-02
IEPOXD,  2.0272523101759862E+007,  1.00E-02
BPINO,  7.4256510909622788E+007,  1.00E-02
LIMO2H,  2.4882803550075393E+005,  1.00E-02
MVKDH,  3.2719402335206813E+008,  1.00E-02
ACRO2,  6.0274029830808167E+003,  1.00E-02
HPALD1OO,  1.0087942245394415E+003,  1.00E-02
SO4,  1.8655548745303379E+010,  1.00E-02
HPALD2OO,  9.3377873901600269E+003,  1.00E-02
ETHP,  1.0825630553258672E+008,  1.00E-02
APINN,  9.3078337117656857E+007,  1.00E-02
BPINN,  3.2101328821056768E+007,  1.00E-02
PAN,  9.8253053971126003E+009,  1.00E-02
C4H6,  6.0652575373488001E+005,  1.00E-02
C3H8,  1.3168740922604839E+010,  1.00E-02
ALK4,  1.7590279531905537E+010,  1.00E-02
BENZ,  2.8155102139718442E+009,  1.00E-02
HPALD4,  3.2986518808769141E+006,  1.00E-02
INA,  2.0095452835766506E-003,  1.00E-02
AROMCHO,  2.2757573778125591E+005,  1.00E-02
IDCHP,  1.0084461316896580E+007,  1.00E-02
Br2,  3.5007394960127043E+004,  1.00E-02
EBZ,  6.6689795225081101E-019,  1.00E-02
HPALD3,  4.1647744102005783E+005,  1.00E-02
IEPOXA,  2.6971284420591891E+008,  1.00E-02
IEPOXB,  1.9507804184483135E+008,  1.00E-02
MCRDH,  4.6664466896620318E+007,  1.00E-02
HONIT,  2.2994458301980067E+007,  1.00E-02
RP,  2.2568415822988942E+008,  1.00E-02
EOH,  3.5786766701705279E+009,  1.00E-02
BrCl,  2.6898478478317298E+004,  1.00E-02
CSL,  1.5819222915762016E+008,  1.00E-02
MACR1OOH,  5.5512810849536760E+006,  1.00E-02
C96O2H,  7.2080712054094262E+006,  1.00E-02
BPINOOH,  4.0325206558234524E+005,  1.00E-02
BPINON,  4.3103847350284286E+007,  1.00E-02
LIMKB,  4.3275111200127853E+006,  1.00E-02
MP,  2.4785752030889630E+009,  1.00E-02
R7N1,  3.9312454844744835E+005,  1.00E-02
SALCAL,  2.8002449755401943E+002,  1.00E-02
LIMO,  8.3148326692982018E+006,  1.00E-02
IHN3,  4.2984351753273778E+007,  1.00E-02
LIMO3H,  6.5253762295091767E+006,  1.00E-02
I2,  2.3564059352128686E+004,  1.00E-02
C4HVP1,  3.8204237953811321E+002,  1.00E-02
C4HVP2,  1.1510516068217628E+003,  1.00E-02
RCOOH,  1.6275696871064579E+009,  1.00E-02
IDHDP,  1.3875841379339349E+007,  1.00E-02
IHN2,  6.0145400808081828E+007,  1.00E-02
C96N,  9.4676802559217662E+007,  1.00E-02
LIMNB,  2.4270588879803721E+007,  1.00E-02
R7O2,  4.7123291514492249E+006,  1.00E-02
SALAAL,  4.6780159996820982E+000,  1.00E-02
IDNOO,  4.6612660855510285E+003,  1.00E-02
CH3Cl,  1.2069319500264523E+010,  1.00E-02
ICNOO,  3.8858354721067786E+004,  1.00E-02
C2H6,  2.8733361058908672E+010,  1.00E-02
MPAN,  1.3346266453973778E+008,  1.00E-02
MVKPC,  3.2844461512333665E+007,  1.00E-02
INPD,  3.9442324525260646E+005,  1.00E-02
RIPA,  1.1192733721294377E+007,  1.00E-02
ROH,  2.4483294415862832E+007,  1.00E-02
ZRO2,  1.5640708608884452E+003,  1.00E-02
ISOPNOO2,  5.5625005005590159E+004,  1.00E-02
MTPA,  9.2540241395086661E+007,  1.00E-02
RIPB,  2.6120522824768769E+006,  1.00E-02
PIN,  6.4653253687943926E+005,  1.00E-02
MCRENOL,  3.9255274447375592E+006,  1.00E-02
PHEN,  3.8989087572950318E+007,  1.00E-02
R7N2,  1.5312058200194709E+009,  1.00E-02
ACO3,  6.2281843859589380E+003,  1.00E-02
IDHPE,  6.2681654411729448E+007,  1.00E-02
RIPD,  1.5977644822447968E+005,  1.00E-02
TMB,  2.6807680447405066E+007,  1.00E-02
AROMP5,  7.6580160157776251E+007,  1.00E-02
MCT,  6.7205267744705930E+007,  1.00E-02
BENZO,  2.8705458126281499E+005,  1.00E-02
BALD,  1.2595332925385365E+008,  1.00E-02
ISOPNOO1,  6.7873597028158780E+004,  1.00E-02
IDHNDOO1,  5.5798817371993309E+003,  1.00E-02
IDHNDOO2,  8.7699982102971589E+003,  1.00E-02
MVKHC,  1.2046104326315427E+008,  1.00E-02
RIPC,  2.1561662191137610E+005,  1.00E-02
HPETHNL,  7.2705708589527337E+006,  1.00E-02
LIMN,  2.0471353435462040E+006,  1.00E-02
BUTO2,  1.8623593592545831E+003,  1.00E-02
GCO3,  8.7936535500015423E+005,  1.00E-02
N2O5,  1.4168741814541729E+007,  1.00E-02
ICHE,  5.4127514695478506E+007,  1.00E-02
MCRHNB,  2.5812033575547177E+007,  1.00E-02
H,  2.3257038615972744E-001,  1.00E-02
BrNO3,  7.7026071780554550E+006,  1.00E-02
MTPO,  1.5765546685377490E+007,  1.00E-02
STYR,  8.7874853745628003E+004,  1.00E-02
AROMP4,  6.9763052174552351E+007,  1.00E-02
INPB,  3.4800736071880320E+006,  1.00E-02
IHPOO1,  2.5147351761608388E+003,  1.00E-02
IHPOO2,  7.7749021729086598E+002,  1.00E-02
PINAL,  6.4347414874292172E+007,  1.00E-02
IHPNDOO,  1.3571968679525764E+003,  1.00E-02
MVKHCB,  1.1386939979005882E+008,  1.00E-02
CH4,  4.4224206599102430E+013,  1.00E-02
PIP,  4.9688964227118682E+004,  1.00E-02
HPALD1,  6.2014481120909005E+005,  1.00E-02
HPALD2,  8.5205268585109711E+006,  1.00E-02
IHPOO3,  4.0894506507955775E+003,  1.00E-02
ACR,  2.1485899651792902E+007,  1.00E-02
ETOO,  3.3180720015953998E+006,  1.00E-02
BZCO3,  3.4490228623318420E+004,  1.00E-02
BENZO2,  2.6369674238029408E+005,  1.00E-02
LIMKET,  1.9555126880731934E+006,  1.00E-02
HC5A,  2.6382440884350408E+007,  1.00E-02
HNO2,  6.2083123675761330E+008,  1.00E-02
AROMCO3,  1.4309895259525535E+002,  1.00E-02
CH3CHOO,  5.3026808793274745E+002,  1.00E-02
MONITU,  2.6177867115993300E+005,  1.00E-02
ICHOO,  1.6789564334267104E+003,  1.00E-02
ATOOH,  4.8837563810515696E+008,  1.00E-02
Cl2,  2.4470064806608058E+005,  1.00E-02
MEKCO3,  4.1407875572968471E+004,  1.00E-02
PROPNN,  3.3510757600853634E+008,  1.00E-02
MCRHN,  6.5803943200527765E+006,  1.00E-02
ALK4N1,  1.1515072621333951E+004,  1.00E-02
PRN1,  2.1511229463082629E+004,  1.00E-02
R4N2,  2.4765168466363820E+008,  1.00E-02
IONO,  2.5368633389811721E+005,  1.00E-02
MCROHOO,  7.4170081646161183E+004,  1.00E-02
MVKOHOO,  1.9417937404224484E+006,  1.00E-02
LIMAL,  4.3159891584496489E+006,  1.00E-02
MONITS,  1.4859134161148138E+007,  1.00E-02
PINO3,  2.5960988970978124E+005,  1.00E-02
ICPDH,  6.6165168136776472E+006,  1.00E-02
MACR1OO,  1.4023958677975732E+005,  1.00E-02
PO2,  1.7169470590267663E+006,  1.00E-02
ETHLN,  3.6040987708601817E+007,  1.00E-02
MYRCO,  5.1327407210806096E+006,  1.00E-02
AROMRO2,  3.2555774911235613E+006,  1.00E-02
H2O2,  1.4743915702963402E+010,  1.00E-02
HCOOH,  1.1535783084724325E+010,  1.00E-02
ITCN,  2.5795852431407247E+007,  1.00E-02
IHN4,  1.5098915429527292E+006,  1.00E-02
IHN1,  1.7163292685556160E+006,  1.00E-02
NPHEN,  1.2297115891376953E+008,  1.00E-02
GLYX,  7.3303047037743831E+008,  1.00E-02
IHPNBOO,  2.4211299060704341E+003,  1.00E-02
LIMKO2,  1.3214513548139263E+004,  1.00E-02
BPINOO2,  7.1318515942993152E+004,  1.00E-02
LIMO3,  1.1151211920809465E+005,  1.00E-02
BPINO2,  4.5339080839462680E+004,  1.00E-02
ISOP,  1.1244737015259755E+009,  1.00E-02
APINO2,  1.4352125884020649E+005,  1.00E-02
C96O2,  2.6355069809290866E+005,  1.00E-02
ALK4N2,  1.2621415146781436E+008,  1.00E-02
OLNN,  6.2800201552068829E+003,  1.00E-02
LIMO2,  2.8833200637208352E+004,  1.00E-02
MOH,  4.2339223437327797E+010,  1.00E-02
ACTA,  2.3592643586219521E+009,  1.00E-02
IO,  3.4819263584062946E+006,  1.00E-02
IEPOXBOO,  1.1718464132885369E+004,  1.00E-02
IEPOXAOO,  3.0622711625886794E+004,  1.00E-02
MCRHP,  8.3826545203052580E+007,  1.00E-02
MVKHP,  3.2713003404626515E+007,  1.00E-02
OLND,  2.8532855818866716E+004,  1.00E-02
PRPE,  1.3603697929034135E+009,  1.00E-02
PIO2,  6.7278809754085296E+003,  1.00E-02
MEK,  7.8900767213549738E+009,  1.00E-02
IDHNBOO,  8.4462058217370140E+003,  1.00E-02
MGLY,  1.1828836414866772E+009,  1.00E-02
ACET,  5.9034268859990768E+010,  1.00E-02
ETO2,  5.5438147062568006E+005,  1.00E-02
ClNO2,  4.9647176639166519E+007,  1.00E-02
RCHO,  2.9999171842480903E+009,  1.00E-02
IDN,  1.8789385723114133E+007,  1.00E-02
ALK4O2,  2.6930266280392086E+005,  1.00E-02
ICN,  1.2110468897679046E+007,  1.00E-02
MVKN,  1.2638818093544397E+008,  1.00E-02
ITHN,  8.2087464326016068E+007,  1.00E-02
IHOO4,  8.9546472755282966E+005,  1.00E-02
IHOO1,  1.7976427104914559E+006,  1.00E-02
GLYC,  3.0240479526474805E+009,  1.00E-02
HAC,  2.3952561782610292E+009,  1.00E-02
MACRNO2,  2.5791932943832626E+003,  1.00E-02
MACR,  6.0405313450127852E+008,  1.00E-02
INO2B,  1.0171411938278878E+004,  1.00E-02
INO2D,  1.0784994888092209E+004,  1.00E-02
CH2OO,  1.7401690651620893E+002,  1.00E-02
ATO2,  8.2914489443030313E+005,  1.00E-02
MVK,  1.7154794683107097E+009,  1.00E-02
OTHRO2,  3.7912694840704645E+006,  1.00E-02
HOBr,  7.3886907551565336E+005,  1.00E-02
ClNO3,  1.6131975781372830E+007,  1.00E-02
R4N1,  4.8760269840814486E+004,  1.00E-02
R4O2,  3.2859296471425532E+006,  1.00E-02
KO2,  2.5340560027440297E+005,  1.00E-02
A3O2,  6.7269142610898602E+005,  1.00E-02
RCO3,  2.0055562674702422E+006,  1.00E-02
B3O2,  2.6322809277107618E+006,  1.00E-02
MCO3,  8.2818892034937097E+006,  1.00E-02
CH2O,  3.9228157741215912E+010,  1.00E-02
ALD2,  7.3474260261411753E+009,  1.00E-02
HNO3,  6.2191220876705299E+010,  1.00E-02
MO2,  4.2759547111258864E+007,  1.00E-02
CO,  3.8329702709977612E+012,  1.00E-02
HOI,  6.4592813440564042E+006,  1.00E-02
I,  1.6465880950099153E+006,  1.00E-02
IONO2,  5.4227208796252549E+007,  1.00E-02
HOCl,  5.2794740678414911E+007,  1.00E-02
O1D,  1.6000629187592152E-002,  1.00E-02
NO2,  4.4587610095653572E+010,  1.00E-02
H2O,  2.2236401795242771E+017,  1.00E-02
HO2,  1.6791937235807979E+008,  1.00E-02
ClO,  1.1845152537414889E+005,  1.00E-02
HCl,  5.0837859346837111E+009,  1.00E-02
Cl,  2.9378126937544012E+003,  1.00E-02
O3,  1.3522663345727659E+012,  1.00E-02
Br,  3.6472775861451402E+004,  1.00E-02
O,  1.3198691380319886E+004,  1.00E-02
SALCCL,  5.6481813338332635E+005,  1.00E-02
OH,  5.7969686976972055E+006,  1.00E-02
NO,  2.0336147918070896E+010,  1.00E-02
BrO,  1.0382439519612931E+005,  1.00E-02
SO2,  1.8961628625297222E+010,  1.00E-02
BrSALA,  7.8054602777368051E+005,  1.00E-02
BrSALC,  6.9024096624588474E+003,  1.00E-02
NO3,  3.6490844935011207E+006,  1.00E-02
HBr,  6.0538057504882542E+006,  1.00E-02
SALACL,  3.5778549578113626E+006,  1.00E-02
H2,  1.1366339290999715E+013,  0.00E+00
N2,  1.7749674010933785E+019,  0.00E+00
O2,  4.7624958695392543E+018,  0.00E+00
R1,  3.8999777330468397E-020
R2,  1.9670379769092604E-007
R3,  1.6079439925813803E-008
R4,  7.2351020706437206E-022
R5,  9.1361345940059972E-010
R6,  1.8424568416540840E-009
R7,  0.0000000000000000E+000
R8,  0.0000000000000000E+000
R9,  0.0000000000000000E+000
R10,  0.0000000000000000E+000
R11,  0.0000000000000000E+000
R12,  0.0000000000000000E+000
R13,  2.0311714151907771E-014
R14,  7.4297486673575467E-014
R15,  1.9558592798948128E-015
R16,  3.4345454740457519E-017
R17,  1.0378825546261131E-017
R18,  1.8000000000000000E-012
R19,  6.0063305385758088E-012
R20,  1.1035796508276777E-010
R21,  1.8000000000000000E-012
R22,  8.1768002182916991E-012
R23,  3.5503188944200689E-012
R24,  2.3702562445454345E-013
R25,  6.6385421125480109E-015
R26,  7.6015587991704799E-012
R27,  2.2811519853467478E-015
R28,  4.9827740735315918E-012
R29,  2.1648297915117498E-013
R30,  1.2784683641560643E-013
R31,  1.5999999999999999E-010
R32,  7.3966241947680112E-012
R33,  7.3966241947680112E-012
R34,  8.3395748839415831E-012
R35,  1.0096224805589776E-011
R36,  1.4052911820581109E-013
R37,  6.9994141920622775E-012
R38,  6.8973728176729857E-012
R39,  1.2445401210832129E-012
R40,  1.0190026882479307E-001
R41,  3.4310329047055444E-012
R42,  3.5000000000000000E-012
R43,  2.5776867823092164E-011
R44,  1.9999999999999999E-011
R45,  1.3343058599506506E-012
R46,  4.8383448024696955E-002
R47,  4.0000000000000001E-013
R48,  9.1926732128187631E-013
R49,  5.1020627179343715E-016
R50,  5.7999999999999996E-016
R51,  1.4851434905518839E-011
R52,  2.5018049225452128E-015
R53,  8.6642944635297714E-012
R54,  5.4449474593929164E-004
R55,  2.9999999999999998E-014
R56,  1.9905471127959088E-011
R57,  2.5648028532065601E-013
R58,  8.5777647525634698E-012
R59,  1.8930616836913363E-013
R60,  8.7670709209326033E-012
R61,  8.0044723980716466E-013
R62,  2.0784105085679917E-013
R63,  8.8816800667439562E-012
R64,  4.2051458250110640E-013
R65,  8.6606639837798827E-012
R66,  6.0509884306185029E-012
R67,  6.0000000000000001E-017
R68,  6.3263384894292314E-012
R69,  2.3343254943506509E-012
R70,  3.0000000000000001E-012
R71,  9.9999999999999994E-012
R72,  3.9999999999999999E-012
R73,  7.6484644395591079E-012
R74,  7.6138895025455576E-012
R75,  6.5793292354876018E-011
R76,  1.0300000000000000E-013
R77,  6.6883122052518350E-018
R78,  8.9539298392653386E-012
R79,  1.3810077300212585E-011
R80,  3.5900000000000000E-011
R81,  1.9999999999999999E-011
R82,  8.9539298392653386E-012
R83,  1.1457811386440111E-011
R84,  1.3593401159371055E-011
R85,  1.9700339080628376E-011
R86,  8.5618546461333476E-012
R87,  5.2070038782640394E-004
R88,  1.4700000000000002E-011
R89,  2.3621649932802930E-012
R90,  7.7906058853978765E-012
R91,  8.7005809838200649E-013
R92,  8.6606639837798827E-012
R93,  7.7906058853978765E-012
R94,  8.7005809838200649E-013
R95,  8.6606639837798827E-012
R96,  7.8754056636971062E-012
R97,  8.6606639837798827E-012
R98,  8.5491588997098612E-012
R99,  4.0477093955547787E-013
R100,  8.6606639837798827E-012
R101,  5.0519463982621902E-017
R102,  1.6000000000000000E-012
R103,  1.6000000000000000E-012
R104,  6.7431117443672358E-013
R105,  2.3502478418201320E-011
R106,  7.3922335975455289E-012
R107,  4.6455396588398947E-004
R108,  1.2700000000000000E-012
R109,  2.0787378788854306E-011
R110,  6.4999999999999999E-015
R111,  1.8192871288101553E-013
R112,  5.9200000000000000E-013
R113,  5.9200000000000000E-013
R114,  7.6138895025455576E-012
R115,  7.6138895025455576E-012
R116,  7.6138895025455576E-012
R117,  7.6138895025455576E-012
R118,  8.8485742867421347E-012
R119,  1.3793722999522449E-011
R120,  1.1493012775579980E-011
R121,  1.1493012775579980E-011
R122,  1.1115494249613371E-012
R123,  8.6606639837798827E-012
R124,  8.5618546461333476E-012
R125,  5.2070038782640394E-004
R126,  0.0000000000000000E+000
R127,  1.9700339080628376E-011
R128,  1.3593401159371055E-011
R129,  2.9999999999999998E-013
R130,  2.9999999999999998E-013
R131,  7.9999999999999998E-016
R132,  8.3699999999999999E-014
R133,  8.3699999999999999E-014
R134,  8.3699999999999999E-014
R135,  8.3699999999999999E-014
R136,  3.9644793154978484E-012
R137,  8.3699999999999999E-014
R138,  8.3699999999999999E-014
R139,  8.3699999999999999E-014
R140,  3.3500000000000001E-012
R141,  5.5550780019465945E-012
R142,  6.8000000000000001E-014
R143,  6.8000000000000001E-014
R144,  7.7167799012286065E-012
R145,  7.7167799012286065E-012
R146,  1.1493012775579980E-011
R147,  1.1493012775579980E-011
R148,  1.3726766077598887E-011
R149,  2.4705425968002066E-011
R150,  1.1615522854674200E-017
R151,  6.5517161368252913E-012
R152,  1.4482838631747085E-012
R153,  9.9999999999999994E-012
R154,  2.9204205178357938E-015
R155,  8.5618546461333476E-012
R156,  5.2070038782640394E-004
R157,  1.9700339080628376E-011
R158,  1.3593401159371055E-011
R159,  3.9999999999999999E-012
R160,  1.1200000000000001E-012
R161,  2.7299999999999999E-012
R162,  9.7712006868271089E-015
R163,  9.6180409321564700E-012
R164,  1.2892799467611138E-011
R165,  1.8131646066708118E-015
R166,  6.8598508920647048E-015
